Nombre;ROA2024
GROWTH MINDSET SL.;61,66
WENEA URBAN SL.;0
HIOPOS CLOUD SERVICES SL.;27,93
ESCUELA DE MEMORIA S.L.;36
FINCLOUDAPPS SOCIEDAD LIMITADA.;-37,41
ROIBOS TECHNOLOGIES SL.;-22,95
CACTUSSOFT SPAIN SL.;31,26
BEJAOFIT S.L.;-15,56
STAYTICK TRAVEL SL.;18,86
CRYPTOGRAPHY & SECURITY SYSTEMS SL.;-7,22
INFORMATICA TELEFONIA Y ELECTRICIDAD SOLUCIONES SL.;7,33
ORIGEN DIGITAL SOCIEDAD LIMITADA.;19,97
TUCUVI CARE SOCIEDAD LIMITADA.;-27,43
COFITEC SERVICIOS 2000 SL.;-5,4
POLCAR 2021 S.L.;1,43
LAST SYSTEMS S.L.;-20,22
JM INGENIA TELECOMUNICACIONES, SOCIEDAD DE RESPONSABILIDAD LIMITADA.;41,77
DIGIBAY SL.;5,36
UNSER-ROB SOCIEDAD LIMITADA.;17,83
WILOC TECHNOLOGIES SL.;7,47
QUALITY PAY SYSTEMS SOCIEDAD LIMITADA.;-0,35
TWISTIC DIGITAL, SOCIEDAD LIMITADA.;23,18
ELYTREYA 2020 SL.;34,46
BLUE CODE SOLUTIONS SL.;-86,35
CAPCHASE SPAIN SL.;36,52
BEFOOTBALL SL.;4,64
TECHPROPERTIES, SOCIEDAD LIMITADA.;0,85
VALPATEK TECHNOLOGY GROUP SL.;25,48
ADVENS CYBERSECURITY SL.;-89,7
MANFRED TECH SLU;-38,74
REBOOT ACADEMY, SOCIEDAD LIMITADA.;56,15
DO DIT ENTERTAINMENT SL.;-3,88
PANSERVE SPAIN SA.;2,95
SOLUTONO SERVICIOS EXTERNALIZADOS SL.;4,59
OHTIC SOLUTIONS S.L.;34,44
FDSA DESARROLLO SL.;-3,55
NEUTROON TECHNOLOGIES S.L.;8,15
SINEDIE ADVISOR SL.;2,16
MONTAZ MEDIA SL.;4,39
CUADROS ELECTRICOS DEL MEDITERRANEO, S.L;10,45
3DNET NETWORKS SL.;-38,37
PREMIUM INTERNATIONAL SERVICES MULTIVENDEDOR SL.;13,14
ACTIVA COMERCIALIZADORA DE ENERGIA SOCIEDAD LIMITADA.;19,8
ZOI LPA, SOCIEDAD LIMITADA.;4,86
BERNARDOFIT SL.;31,84
PONTIO FINTECH SL.;17,11
INTENT HQ EUROPE S.L.;49,6
BEXT SPACE HOLDING SL.;-0,16
OZONA XT SL.;31,21
NETIKIO S.L.;65,01
INNOGANDO SL.;2,25
AHORRAENTUENERGIA SL.;43,02
ADAS3D MEDICAL S.L.;-2,81
100 NF SOCIEDAD LIMITADA.;17,39
MOMENTUM DATA SPAIN S.L.;3,89
RETAIN TECHNOLOGIES SL.;8,25
MK DEVELOPMENT CONSULTING SL.;17,45
TRUCKSDEPOEUROPA SL.;17,29
360 GREEN SOLUTIONS SL.;29,92
LITLAB STUDIOS S.L.;21,94
LIN3S SPORTS BUSINESS SOCIEDAD LIMITADA.;38,2
TRUSTYOU SL.;21,09
MILLENNIALS CONSULTING SL.;12,7
TYNDALL TELECOM S.L.;9,95
CODE-10 IT CONSULTANTS SOCIEDAD LIMITADA.;54,84
SOLARMENTE S.L.;-134,34
GLOBAL ENCESAP SL.;25,44
FACTECH SERVICIOS INFORMATICOS S.L.;17,96
BIVALTASA GLOVAL ANALYTICS SL.;-16,87
EDMI SPAIN SOCIEDAD LIMITADA.;28,07
DIAGRAM SOFTWARE EUROPA SL.;11,5
KLEDING SPAIN S.L.;74,53
REVENI SL.;-13,11
TICMOVEO SL.;21,31
TWD PLATFORMS SOCIEDAD LIMITADA.;46,87
EASYDETECT S.L.;-2,27
VENTAMADRID SL.;49,78
